,word,freq,sentiment,Genre,Category
313,mechanized,50,,,
314,nearly,50,,,
315,nightmare,50,,,
316,overlord,50,,,
317,overwrought,50,,,
318,pitch,50,,,
319,posits,50,,,
320,realisation,50,,,
321,renowned,50,,,
322,resplendent,50,,,
323,seductive,50,,,
324,sky,50,,,
325,sorcery,50,,,
326,spawned,50,,,
327,spliced,50,,,
328,spots,50,,,
329,startingpoint,50,,,
330,static,50,,,
331,testament,50,,,
332,tricky,50,,,
333,trite,50,,,
334,unites,50,,,
335,aficionado,49,,,
336,debate,49,,,
337,devoted,49,,,
338,disrupt,49,,,
339,dramatization,49,,,
340,embarrassingly,49,,,
341,expressionistfuturistold,49,,,
342,freudianmarxistchristian,49,,,
343,gateway,49,,,
344,geometric,49,,,
345,gratitude,49,,,
346,inspire,49,,,
347,labyrinths,49,,,
348,luminous,49,,,
349,marvellous,49,,,
350,mediation,49,,,
351,minute,49,,,
352,mostly,49,,,
353,musiclovers,49,,,
354,nothing,49,,,
355,oblique,49,,,
356,owes,49,,,
357,provoke,49,,,
358,puerile,49,,,
359,reconstruction,49,,,
360,take,49,,,
361,top,49,,,
362,tormented,49,,,
363,tunnels,49,,,
364,utopians,49,,,
365,yoked,49,,,
366,development,48,,,
367,review,48,,,
368,stunts,48,,,
369,things,48,,,
370,desert,47,,,
371,entertainment,47,,,
372,oscar,47,,,
373,around,46,,,
374,looks,46,,,
375,need,46,,,
376,practical,46,,,
377,since,46,,,
378,visually,46,,,
379,age,45,,,
380,hour,45,,,
381,whole,45,,,
382,aspect,44,,,
383,away,44,,,
384,beautiful,44,,,
385,definitely,44,,,
386,director,44,,,
387,entertaining,44,,,
388,got,44,,,
389,including,44,,,
390,along,43,,,
391,crazy,43,,,
392,yearold,43,,,
393,genre,42,,,
394,gets,42,,,
395,isnt,42,,,
396,love,42,,,
397,nonstop,42,,,
398,nux,42,,,
399,several,42,,,
400,apocalyptic,41,,,
401,done,41,,,
402,enjoyable,41,,,
403,interesting,41,,,
404,show,41,,,
405,vehicles,41,,,
406,worth,41,,,
407,fastpaced,40,,,
408,give,40,,,
409,however,40,,,
410,job,40,,,
411,michael,40,,,
