"","movies","unigood","bigood","trigood","unibad","bibad","tribad","V8"
"53","infinitepolar",0.0232245035341636,0.0207877461706783,0.00193963845139266,0.00942443621676203,0.0136264173463298,0.00162929629916983,2
"54","sleepingwith",0.0300906842539159,0.0275798363684349,0.0028436018957346,0.0197856553998351,0.0244127738189496,0.00337019483938915,2
"55","blackmass",0.0400051786639047,0.0272638264755354,0.00153487133706088,0.0400051786639047,0.0275650842266462,0.00283481338783693,2
"56","pawnsacrifice",0.0201954397394137,0.0228457673713148,0.00239251794388458,0.0159609120521173,0.0159256801592568,0.00174001305009788,2
"57","malala",0.0235535074244752,0.0124581628858312,0.00168118600030567,0.00716845878136201,0.0146894756415024,0.00213969127311631,2
"58","prophet",0.0496894409937888,0.0191717791411043,0.00067842605156038,0.00798580301685892,0.0230061349693252,0.00271370420624152,2
"59","assassin",0.0382401315789474,0.0109003397508494,0.000584248656228091,0.0148026315789474,0.0159966024915062,0.00280439354989484,2
"60","rosencraz",0.0608078118064802,0.0361460495787031,0.00405941507519144,0.0150909897913893,0.0173403345951887,0.00129163206937909,2
"61","secretsold",0.0348570235858902,0.0268719256695209,0.00226986902242263,0.0223335420580255,0.0209965385316087,0.00266862979663201,3
"62","lazer",0.0346220427005193,0.033641404805915,0.00429884375926475,0.0300057703404501,0.0266173752310536,0.00340942780907204,3
"63","heartsea",0.0474065811489124,0.0224913494809689,0.00225874520759652,0.0336493772076594,0.0237889273356401,0.00231818587095432,3
"64","hoteltrans",0.0325876829605081,0.0485177051880318,0.00570425625274243,0.0325876829605081,0.0293713972001098,0.00238896202037931,3
"65","inern",0.0485742379547689,0.0419589675711449,0.00496466861598441,0.0269419862340216,0.0223251709684536,0.00246710526315789,3
"66","irrational",0.0186298076923077,0.017284638974073,0.00204379562043796,0.0276442307692308,0.0203512684694731,0.00211678832116788,3
"67","walkinwoods",0.0372296742403504,0.0303158488437676,0.00398197631771979,0.0292909937038051,0.0238296672306825,0.0035104264906214,3
"68","ted2",0.0370137029453457,0.0407153482957118,0.00333285329273561,0.0532367301937313,0.0343121402237889,0.00257164605920958,3
"69","mazerunner",0.0316933293087836,0.0287576920733565,0.00237437986217014,0.0593118019921521,0.0333577042588192,0.00380286855973592,3
"70","minions",0.0420039073402177,0.0389690605873435,0.00317107975265578,0.056098241696902,0.0350103880060643,0.00325916530134066,3
"71","cooties",0.0239130434782609,0.0357336220898755,0.00266354144470488,0.0273913043478261,0.0240931239848403,0.00394204133816322,3
"72","Freeheld",0.0166079516859587,0.0164107993647432,0.00145687645687646,0.015601409159537,0.0165872595729663,0.00189393939393939,3
"73","learningtodri",0.0246020260492041,0.0266883645240033,0.00214477211796247,0.014954172696575,0.0196908055329536,0.00227882037533512,3
"74","samba",0.0196238757154538,0.0153461812990721,0.000929368029739777,0.0171708912510221,0.027123483226267,0.00340768277571252,3
"75","boy",0.0216524216524217,0.0331044197922169,0.00455486542443064,0.0358974358974359,0.0484240183130833,0.0082815734989648,4
"76","dadhome",0.0308467107333963,0.0393362533692722,0.00702062308029838,0.0506767390620082,0.0456536388140162,0.00971604087005579,4
"77","janegot",0.0140646976090014,0.0267605633802817,0.00242541838467136,0.0253164556962025,0.0270422535211268,0.0033955857385399,4
"78","alvinchip",0.02,0.0271317829457364,0.00257658173489837,0.0272222222222222,0.0248414376321353,0.00372172917263098,4
"79","burnt",0.0299539170506912,0.0309162450815065,0.00546050236621769,0.030241935483871,0.0354131534569983,0.00691663633054241,4
"80","ourbrand",0.0145817344589409,0.0226194819408975,0.00268224925759172,0.0268610897927859,0.0214033807612793,0.00306542772296197,4
"81","greeninferno",0.0221238938053097,0.0177341957020655,0.00139927090621203,0.0373893805309735,0.0269142499478406,0.00287218764959311,4
"82","scout",0.0245173153539687,0.0300613496932515,0.00394543266015782,0.0346307079374808,0.0258545135845749,0.00374481744014979,4
"83","captive",0.0161082474226804,0.0208014013575651,0.000723719920390809,0.0141752577319588,0.0238668710313116,0.00542789940293107,4
"84","perfectguy",0.0179961089494163,0.032183241519281,0.00340495479628977,0.0350194552529183,0.0262394897071615,0.00293530585887049,4
"85","pan",0.0402172068555914,0.0238139883742734,0.00239386762421372,0.0544714067537757,0.0293643352709544,0.00328520131408053,4
"86","warroom",0.0473313192346425,0.0438648931400389,0.00574094007893793,0.018462571332662,0.0200269018083993,0.00189656056179199,4
"87","knock",0.0165943323972428,0.0155023152808536,0.00134542555311939,0.0528465662496809,0.0324810415408362,0.00617899142914092,4
"88","minutes90",0.0194805194805195,0.0185045317220544,0.00294599018003273,0.0278293135435993,0.0260574018126888,0.00654664484451719,4
"89","ridealong",0.0213636363636364,0.0304247990815155,0.00418410041841004,0.0340909090909091,0.0403272101033295,0.00915978740246523,5
"90","dirtygrad",0.0174461766889384,0.0238293444328824,0.00355182434614143,0.0508537490720119,0.0467221644120708,0.011139812721989,5
"91","fifthwave",0.0212164073550212,0.0256944961644448,0.00290379136532983,0.0625176803394625,0.0324718850078201,0.00361604207758054,5
"92","normofnorth",0.0119791666666667,0.021991341991342,0.00239977413890457,0.0380208333333333,0.0429437229437229,0.0118577075098814,5
